자치구별(1),2017,2017,2017,2017,2017,2017,2017,2017
자치구별(1),소계,모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수)
자치구별(1),합계출산율,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
서울특별시,0.836,0.7,4.5,26.6,81.3,48.3,6.4,0.2
종로구,0.646,0.5,1.9,20,58.5,40.3,7.8,-
중구,0.824,0.8,4.7,25.5,75.5,51.2,7.7,0.2
용산구,0.793,0.2,3.8,23.7,73.2,50.4,7.5,0.3
성동구,0.972,0.3,4.8,30.7,94.9,57.9,7.4,0.2
광진구,0.749,0.5,2.9,24.3,73.3,44.6,5.4,0.2
동대문구,0.822,1,4.1,24.2,79.7,49.5,6.4,0.1
중랑구,0.906,0.6,8.6,33.5,79.5,53.1,6.3,0.2
성북구,0.818,0.4,3.6,25.9,79.3,46.8,7.2,0.1
강북구,0.825,1.5,6.6,28.3,76.1,43.9,7.9,0.1
도봉구,0.833,1,5.5,30.7,80.7,44,4.9,0.3
노원구,0.938,0.3,3.9,30.3,96.9,49.6,5.4,0.2
은평구,0.814,0.3,5.7,28.6,76.8,44.6,7,0.1
서대문구,0.823,1.6,3.2,24.1,78.3,50.1,7.1,0.2
마포구,0.806,2.4,4.2,23.7,76.3,48.8,6.3,0.2
양천구,0.898,0.3,4.2,33.1,90.5,45.9,4.9,-
강서구,0.925,0.7,5.5,32.8,90.9,50.8,6,0.1
구로구,0.943,0.9,4.8,33.5,91.6,51.3,7.7,0.2
금천구,0.901,2.1,7.9,31.6,81.1,51.6,5.7,0.1
영등포구,0.884,0.5,4.3,25.1,87.1,55,6.1,0.3
동작구,0.831,0.1,3.8,21.5,82.9,51.1,7.2,-
관악구,0.662,0.9,5,17.7,61.5,41.1,6.9,0.1
서초구,0.799,0.2,1.5,22.9,81.5,47.8,6.9,0.2
강남구,0.706,1.2,3.3,18.8,68.9,43.6,6.3,0.1
송파구,0.871,0.4,3.3,28.2,89.8,48.1,5.8,0.1
강동구,0.884,0.4,5.5,29.9,85.4,50.2,6.1,0.3
