자치구별(1),2019,2019,2019,2019,2019,2019,2019,2019
자치구별(1),소계,모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수)
자치구별(1),합계출산율,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
서울특별시,0.717,0.5,3,17.7,68.2,45.5,7.5,0.2
종로구,0.648,0.6,1.6,15.2,53.3,48.3,8.6,0.3
중구,0.78,0.5,2,17.2,71.3,55.3,9.8,-
용산구,0.713,-,2,13.7,66.5,48.7,10.9,0.2
성동구,0.855,0.2,2.2,18.3,83.5,56.9,9.9,0.2
광진구,0.652,0.5,2.4,15.8,59.9,44.1,6.7,0.3
동대문구,0.765,0.1,2.6,16.5,73.2,50.4,9,0.1
중랑구,0.777,0.5,4.8,25.7,69.5,45.5,8.9,0.1
성북구,0.707,0.6,2.6,18.9,67.1,43.2,7.4,0.2
강북구,0.617,0.4,5.5,19.4,55.4,34.6,6.2,0.3
도봉구,0.697,0.3,5,21.2,62.1,42.6,6.8,0.1
노원구,0.776,0.6,2.5,21.8,79.8,42.4,5.9,0.1
은평구,0.697,0.9,3.4,18.9,65.9,42.7,6.7,0.2
서대문구,0.685,1.7,2.7,13.7,66.5,44.2,6.7,-
마포구,0.681,0.5,2.4,15.4,64.3,45.9,7.6,0.3
양천구,0.742,0.1,3.3,21,72.5,43.5,6.1,0.2
강서구,0.76,0.5,4.2,21.1,71.8,46.3,7.6,0.2
구로구,0.794,0.2,4.3,22.4,75.3,47.6,7.9,0.2
금천구,0.709,1.3,6.3,21,62.7,41.8,8,0.1
영등포구,0.829,0.2,2.4,17.3,81.9,56.1,8,0.1
동작구,0.697,0.5,2.2,13.9,66.6,46.8,8.4,-
관악구,0.536,0.9,2.9,11.2,45.7,38.7,6.4,0.2
서초구,0.715,-,1.4,15.3,71,47,7.4,0.2
강남구,0.612,1,2.3,12.8,59.7,38.9,6.9,-
송파구,0.77,0.5,2.1,19,75.3,49.1,7.9,0.2
강동구,0.758,0.3,3.8,19.5,74.2,45.5,7.4,0.1
