자치구별(1),2022,2022,2022,2022,2022,2022,2022,2022
자치구별(1),소계,모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수)
자치구별(1),합계출산율,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
서울특별시,0.593,0.2,1.4,9.9,53.5,43.4,8.7,0.2
종로구,0.477,0,1.1,6.9,34.2,42.5,9.4,0.2
중구,0.606,0,1.8,7.8,48.1,50,12.4,0.3
용산구,0.596,0,1.4,8.5,49,47.8,11.7,0.2
성동구,0.723,0.2,1.3,10,65.8,55.5,12.1,0.1
광진구,0.461,0,1,7.2,38.3,36,8.4,0.2
동대문구,0.62,0,1.4,8.8,58.5,43.7,9.5,0.3
중랑구,0.659,0.3,3,15,57,47.1,9.5,0.2
성북구,0.649,0.1,1.9,9.6,61.3,45.5,9.6,0.3
강북구,0.483,0.8,2.3,10.9,41.8,32.3,6.7,0
도봉구,0.573,0.2,2.2,12.6,50.9,40.3,7,0.2
노원구,0.716,0.2,1.2,14.3,70,47.8,7.8,0.1
은평구,0.613,0.6,1.3,9,57.1,44.9,8.4,0.1
서대문구,0.607,0.7,1.4,9.6,53.1,45.1,9.9,0.2
마포구,0.529,0,0.6,7,49.3,39.7,8.8,0
양천구,0.608,0.1,1.6,14.7,57.3,38,7.3,0.2
강서구,0.588,0.3,2.3,11.4,53,42.1,7.5,0.3
구로구,0.684,0.4,1.6,13.1,65.9,45.7,9.5,0.1
금천구,0.588,0.8,1.9,13.9,49.7,41.2,9.2,0
영등포구,0.671,0.4,1.4,9.5,57.7,52.9,12.1,0.2
동작구,0.567,0.1,1.3,7.8,52,42.6,8.1,0.1
관악구,0.422,0,1.2,4.7,31,34.1,8.8,0.2
서초구,0.599,0,0.8,10.5,56.2,43.3,8.1,0.2
강남구,0.49,0.1,0.3,7.1,44.4,37.3,7.3,0.1
송파구,0.598,0.3,1.1,9.3,56.9,43.6,7.9,0.2
강동구,0.719,0.2,2,14.7,66.8,49.3,9.7,0.2
