자치구별(1),2016,2016,2016,2016,2016,2016,2016,2016
자치구별(1),소계,모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수),모(母)의 연령별 출산율(연령별 여성 천명당 출생아수)
자치구별(1),합계출산율,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
서울특별시,0.94,0.9,5.4,33.3,93.3,49.8,6.3,0.2
종로구,0.784,-,4.4,26.1,69,51.3,5.8,-
중구,0.974,1.2,5.4,34.7,87.6,59.3,8.5,0.2
용산구,0.907,0.4,4.5,29.5,93.4,48.7,6.4,0.2
성동구,1.013,0.6,4.7,32.8,102.7,55.6,7.7,0.2
광진구,0.867,0.4,4.1,31,88,45.6,5.7,0.1
동대문구,0.889,1.3,5,30.8,87.5,47.6,6.3,0.1
중랑구,0.995,1,8.4,39.8,93.3,50,7.6,0.3
성북구,0.909,0.9,5.6,31,91.3,46.1,6.7,0.3
강북구,0.878,1.1,9.2,33.1,82.9,43.4,5.9,0.2
도봉구,0.947,0.8,6.5,38.1,93.8,45.5,5.1,0.1
노원구,1.068,0.5,4.5,40.2,108.7,53,5.4,-
은평구,0.943,0.5,6.6,36.4,89.5,48.7,7.5,0.1
서대문구,0.934,1.9,4.1,27.9,95.8,50.1,6.7,0.3
마포구,0.945,3,5.1,33.8,90.1,51,7,0.1
양천구,1.008,0.5,5.2,41.3,100.1,49.3,4.3,0.2
강서구,1.059,0.8,5.5,42.8,106.5,52.3,5.8,0.1
구로구,1.07,0.5,5.8,40,107,54.3,8,0.2
금천구,0.944,0.9,8.3,36.3,88.5,49.3,6,-
영등포구,1.011,0.8,4.1,33.5,103.3,54.3,8,0.1
동작구,0.912,0.2,5.1,27.6,93.5,50.8,6.5,0.3
관악구,0.777,1.8,5.3,24.4,72.6,45.8,6.7,0.2
서초구,0.928,0.2,2.7,31.7,92.9,53.4,6.1,0.1
강남구,0.802,2.5,4.6,25.5,77.9,45.3,6.2,-
송파구,0.958,0.3,5.4,34,97.5,51.1,5.7,0.1
강동구,0.938,0.5,4.7,30.6,98.5,48.5,6.1,0.1
